      area_2000 coast_length dryland_loss max_dryland_loss DEM   land_value wetland_loss_SLR wetland_loss_coastalsqueeze exposed_wetland W_1990    coast_protection_cost
AUS   7633565   25760        3135         7633565          0.548 1514759    256              183                         2511            55385.64  36.6
NZL   262443    15134        3135         262443           0.548 1514759    256              183                         2511            55385.64  36.6
BLZ   22806     386          12004        22806            0.678 509083     14775            238                         54279           76001.27  42.3
CRI   51060     1290         12004        51060            0.678 509083     14775            238                         54279           76001.27  42.3
SLV   20721     307          12004        20721            0.678 509083     14775            238                         54279           76001.27  42.3
GTM   107159    400          12004        107159           0.678 509083     14775            238                         54279           76001.27  42.3
HND   111890    832          12004        111890           0.678 509083     14775            238                         54279           76001.27  42.3
MEX   1943945   9330         12004        1943945          0.678 509083     14775            238                         54279           76001.27  42.3
PAN   74340     2490         12004        74340            0.678 509083     14775            238                         54279           76001.27  42.3
CAN   9093507   202080       970          9093507          0.261 1170585    0                0                           0               130509.75 13
BIH   51187     20           1889         51187            0.193 220274     38               0                           5               11297.61  3.1
BGR   108489    354          1889         108489           0.193 220274     38               0                           5               11297.61  3.1
HRV   55974     6268         1889         55974            0.193 220274     38               0                           5               11297.61  3.1
CZE   77247     0            1889         0                0.193 220274     0                0                           0               11297.61  0
HUN   89608     0            1889         0                0.193 220274     0                0                           0               11297.61  0
MKD   25433     0            1889         0                0.193 220274     0                0                           0               11297.61  0
MNE   13452     293.5        1889         13452            0.193 220274     38               0                           5               11297.61  3.1
POL   311888    440          1889         311888           0.193 220274     38               0                           5               11297.61  3.1
ROU   229891    225          1889         229891           0.193 220274     38               0                           5               11297.61  3.1
SRB   88246     0            1889         0                0.193 220274     0                0                           0               11297.61  0
SVK   48105     0            1889         0                0.193 220274     0                0                           0               11297.61  0
SVN   20152     46.6         1889         20152            0.193 220274     38               0                           5               11297.61  3.1
CHN   9326410   14500        35000        9326410          0.708 973897     5879             1779                        19132           31321.6   118.4
MNG   1553556   0            35000        0                0.708 973897     0                1779                        0               31321.6   0
